"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.670570704E1,-4.416370392E-1,-9.957771301E-1,-4.686403275E-2
3.671370339E1,-4.460461140E-1,-7.454252243E-1,-4.812121391E-2
3.672169882E1,-4.341990948E-1,-5.151195526E-1,-4.592108727E-2
3.672969455E1,-3.650329113E-1,-3.548316956E-1,-1.106653214E-1
3.673769059E1,-1.505810022E-1,-2.331161499E-1,-2.235865593E-1
3.674568548E1,-1.127958298E-3,-1.495180130E-1,-3.682820797E-1
3.675368121E1,7.520878315E-2,-9.419250488E-2,-5.163288116E-1
3.676170795E1,8.342564106E-2,-2.125740051E-2,-6.666693687E-1
3.676970314E1,8.332598209E-2,1.030817032E-1,-6.910942793E-1
3.677769911E1,3.842031956E-2,3.267822266E-1,-5.399270058E-1
3.678569492E1,3.332567215E-2,5.993556976E-1,-3.472766876E-1
3.679368965E1,1.371062994E-1,7.888774872E-1,-1.938717365E-1
3.680168538E1,2.633180618E-1,1.050888062E0,2.578830719E-2
3.680968112E1,3.522159457E-1,1.268010139E0,1.874806881E-1
3.681770770E1,3.758198619E-1,1.449584007E0,1.966798306E-1
3.682570343E1,3.423914313E-1,1.629178047E0,1.567156315E-1
3.683369970E1,2.503885031E-1,1.830697060E0,1.040754318E-1
3.684169482E1,1.383984089E-2,2.097142220E0,3.443837166E-2
3.684969094E1,-1.070263386E-1,2.243825912E0,-3.936886787E-2
3.685768575E1,-1.212798357E-1,2.337388039E0,-6.897950172E-2
3.686568118E1,-7.827281952E-4,2.306120872E0,-1.078021526E-1
3.687370768E1,2.184846401E-1,2.210021019E0,-1.420440674E-1
3.688170364E1,5.300570130E-1,2.092529297E0,-2.037162781E-1
3.688969976E1,6.741907001E-1,2.169609070E0,-3.992612362E-1
3.689769480E1,6.757743955E-1,2.293452263E0,-7.232515812E-1
3.690568969E1,5.164851546E-1,2.491801262E0,-9.910336733E-1
3.691368542E1,3.177584410E-1,2.569127083E0,-1.162391424E0
3.692168208E1,1.196110249E-1,2.494790077E0,-1.320270181E0
3.692970735E1,8.970272541E-2,2.207247734E0,-1.243637443E0
3.693770370E1,1.902151108E-1,1.854425430E0,-9.487433434E-1
3.694569913E1,3.930538893E-1,1.319153786E0,-3.892958164E-1
3.695369425E1,6.988891959E-1,8.515510559E-1,9.992408752E-2
3.696169029E1,9.354603291E-1,3.882112503E-1,7.754530907E-1
3.696968571E1,1.098598361E0,-7.016754150E-2,1.194899082E0
3.697768206E1,1.133907437E0,-3.354253769E-1,1.427016973E0
3.698570733E1,8.409101367E-1,-4.261283875E-1,1.652722836E0
3.699370330E1,4.143019915E-1,-2.908010483E-1,1.695614338E0
3.700169934E1,-7.795953751E-2,-2.200107574E-1,1.553178549E0
3.700969446E1,-4.415092468E-1,-2.455034256E-1,1.269935846E0
